AAM01588_1	COG0012
AAM07743_1	COG0012
AAR39308_1	COG0012
BAF59108_1	COG0012
BAA80149_1	COG0012
ABX12876_1	COG0012
ABX13430_1	COG0012
ABX07323_1	COG0012
ACR41998_1	COG0012
ADB40265_1	COG0012
CBE68270_1	COG0012
ADM28077_1	COG0012
ABK77965_1	COG0012
ABK78262_1	COG0012
AEG14117_1	COG0012
AEI46522_1	COG0012
AEJ39661_1	COG0012
EHR75897_1	COG0012
AFH42430_1	COG0012
AFK03744_1	COG0012
BAJ49961_1	COG0012
BAJ50310_1	COG0012
AFS80995_1	COG0012
AFS81528_1	COG0012
AFU57094_1	COG0012
AFU58529_1	COG0012
AFY93395_1	COG0012
AFZ23337_1	COG0012
AGB16397_1	COG0012
AGB16824_1	COG0012
BAN03611_1	COG0012
AHB40433_1	COG0012
AHB41544_1	COG0012
AHB42285_1	COG0012
AHX14291_1	COG0012
AII86955_1	COG0012
AIL13088_1	COG0012
ALI35137_1	COG0012
AJF61651_1	COG0012
AJP47532_1	COG0012
AKH32580_1	COG0012
AKM77751_1	COG0012
AKM79121_1	COG0012
AKM81732_1	COG0012
AKM82132_1	COG0012
AKM83402_1	COG0012
AKM84327_1	COG0012
AKM85045_1	COG0012
AKV02034_1	COG0012
ALM09662_1	COG0012
ALP54387_1	COG0012
AMD29864_1	COG0012
AOV95005_1	COG0012
AOR39068_1	COG0012
APR88077_1	COG0012
AQS41893_1	COG0012
ARU39836_1	COG0012
BAV83558_1	COG0012
BBD52899_1	COG0012
BBG66008_1	COG0012
CUR51028_1	COG0012
CUR51576_1	COG0012
SQG00229_1	COG0012
VEH66313_1	COG0012
NP_415721_1	COG0012
WP_006688686_1	COG0012
WP_010895055_1	COG0012
NP_231816_2	COG0012
NP_253362_1	COG0012
NP_268427_1	COG0012
WP_010902332_1	COG0012
WP_010903276_1	COG0012
WP_005720428_1	COG0012
YP_207239_1	COG0012
NP_266162_1	COG0012
WP_001218714_1	COG0012
NP_419298_1	COG0012
NP_707112_1	COG0012
NP_460740_1	COG0012
NP_386463_1	COG0012
NP_661189_1	COG0012
WP_009991319_1	COG0012
WP_011033031_1	COG0012
WP_011025875_1	COG0012
WP_004684071_1	COG0012
NP_636266_1	COG0012
WP_011009188_1	COG0012
NP_687042_1	COG0012
WP_011011488_1	COG0012
NP_604262_1	COG0012
WP_011096598_1	COG0012
NP_742880_1	COG0012
WP_004583446_1	COG0012
WP_035125230_1	COG0012
NP_765930_1	COG0012
WP_011137602_1	COG0012
WP_011199734_1	COG0012
NP_816891_1	COG0012
NP_835130_1	COG0012
NP_847870_1	COG0012
WP_010949695_1	COG0012
NP_875624_1	COG0012
WP_010944924_1	COG0012
NP_970919_1	COG0012
WP_011177653_1	COG0012
WP_010961277_1	COG0012
WP_002515199_1	COG0012
WP_003178027_1	COG0012
WP_011234183_1	COG0012
YP_096659_1	COG0012
NP_207364_1	COG0012
NP_229045_1	COG0012
NP_295109_1	COG0012
NP_213425_1	COG0012
WP_048061074_1	COG0012
WP_010878861_1	COG0012
NP_212369_1	COG0012
NP_219595_1	COG0012
NP_224526_1	COG0012
NP_348752_1	COG0012
NP_274835_1	COG0012
NP_309735_1	COG0012
YP_169695_1	COG0012
NP_391972_1	COG0012
YP_002346996_1	COG0012
YP_002344328_1	COG0012
WP_011002804_1	COG0012
WP_011112365_1	COG0012
YP_001089173_1	COG0012
WP_041936410_1	COG0012
YP_001006652_1	COG0012
